Timestamp;Frame HEX;ID;Sts;FlightStatus;GNSS Fix;GNSS Fix Type;Lat;LatFloat;Lon;LonFloat;Altitude GNSS;Altitude Baro;Pressure;Pressure Float;Temperature;Temperature Float;Acc X;Acc X Float;Acc Y;Acc Y Float;Acc Z;Acc Z Float;Gyro X;Gyro X Float;Gyro Y;Gyro Y Float;Gyro Z;Gyro Z Float;Annex 0;Annex 0 Float;Annex 1;Annex 1 Float;CRC Received;CRC Calculated;CRC Check
[00:41:08.669] ;04 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f ae ff 1a 08 79 00 11 00 6d ff e5 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.703;4129796;1008.25;3844;38.44;-82;-0.0400391;2074;1.0127;121;0.059082;17;1.0376;-147;-8.97217;-27;-1.64795;0;-2048;0;-2048;0;0;1
[00:41:09.170] ;27 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 05 0f d0 ff 1f 08 0b 00 0e 00 b3 ff eb ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.6317;4129831;1008.26;3845;38.45;-48;-0.0234375;2079;1.01514;11;0.00537109;14;0.854492;-77;-4.69971;-21;-1.28174;0;-2048;0;-2048;0;0;1
[00:41:09.671] ;3d 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f 9e ff 18 08 90 00 10 00 16 00 e9 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.5868;4129853;1008.26;3844;38.44;-98;-0.0478516;2072;1.01172;144;0.0703125;16;0.976563;22;1.34277;-23;-1.40381;0;-2048;0;-2048;0;0;1
[00:41:10.174] ;0b 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f 63 00 25 08 f0 ff ff ff 5d ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.6872;4129803;1008.25;3844;38.44;99;0.0483398;2085;1.01807;-16;-0.0078125;-1;-0.0610352;-163;-9.94873;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:10.673] ;8c 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f 02 00 22 08 2f 00 15 00 87 ff ed ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.4256;4129932;1008.28;3844;38.44;2;0.000976563;2082;1.0166;47;0.0229492;21;1.28174;-121;-7.38525;-19;-1.15967;0;-2048;0;-2048;0;0;1
[00:41:11.174] ;42 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f e3 ff 23 08 3a 00 0e 00 c4 ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.5762;4129858;1008.27;3844;38.44;-29;-0.0141602;2083;1.01709;58;0.0283203;14;0.854492;-60;-3.66211;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:11.680] ;ed 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f c7 ff 20 08 2c 00 12 00 de ff f0 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.7506;4129773;1008.25;3844;38.44;-57;-0.027832;2080;1.01563;44;0.0214844;18;1.09863;-34;-2.0752;-16;-0.976563;0;-2048;0;-2048;0;0;1
[00:41:12.176] ;fa 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 03 0f e7 ff 1e 08 3e 00 07 00 89 ff ef ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.7215;4129786;1008.25;3843;38.43;-25;-0.012207;2078;1.01465;62;0.0302734;7;0.427246;-119;-7.26318;-17;-1.0376;0;-2048;0;-2048;0;0;1
[00:41:12.675] ;69 04 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f d1 ff 21 08 09 00 16 00 c4 ff f2 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.4969;4129897;1008.28;3844;38.44;-47;-0.0229492;2081;1.01611;9;0.00439453;22;1.34277;-60;-3.66211;-14;-0.854492;0;-2048;0;-2048;0;0;1
[00:41:13.175] ;cb 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f c8 ff 1f 08 0b 00 10 00 c7 ff f1 ff 00 00 00 00 c0;3;192;0;0;0;435504779;43.5505;14879996;1.488;192;41.8193;4129739;1008.24;3844;38.44;-56;-0.0273438;2079;1.01514;11;0.00537109;16;0.976563;-57;-3.479;-15;-0.915527;0;-2048;0;-2048;0;0;1
[00:41:13.677] ;93 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f cd ff 22 08 36 00 15 00 79 ff f1 ff 00 00 00 00 c1;3;193;1;0;0;435504779;43.5505;14879996;1.488;192;41.9329;4129683;1008.22;3844;38.44;-51;-0.0249023;2082;1.0166;54;0.0263672;21;1.28174;-135;-8.23975;-15;-0.915527;0;-2048;0;-2048;0;0;1
[00:41:14.176] ;f2 03 3f 00 8b 46 f5 19 fc 0c e3 00 c0 00 04 0f d1 ff 1d 08 27 00 10 00 98 ff ec ff 00 00 00 00 c1;3;193;1;0;0;435504779;43.5505;14879996;1.488;192;41.74;4129778;1008.25;3844;38.44;-47;-0.0229492;2077;1.01416;39;0.019043;16;0.976563;-104;-6.34766;-20;-1.2207;0;-2048;0;-2048;0;0;1
